Links,Address,Description,Price
https://www.rightmove.co.uk/properties/120052040#/?channel=RES_BUY,"Portway, Stratford, London, E15",3 bedroom house for sale,"£600,000"
https://www.rightmove.co.uk/properties/116733542#/?channel=RES_BUY,"New Garden Quarter, London E15",3 bedroom apartment for sale,"£800,000"
https://www.rightmove.co.uk/properties/89044105#/?channel=RES_BUY,"STRATFORD LOFTS, 22 INTERNATIONAL WAY, Stratford, London, E20",2 bedroom flat for sale,"£799,999"
https://www.rightmove.co.uk/properties/118997666#/?channel=RES_BUY,"Hyett Court, E20",3 bedroom flat for sale,"£799,995"
https://www.rightmove.co.uk/properties/119760758#/?channel=RES_BUY,"Manhattan Loft Apartments, International Way E20",2 bedroom apartment for sale,"£795,000"
https://www.rightmove.co.uk/properties/93683264#/?channel=RES_BUY,"Glasshouse Gardens, Stratford",2 bedroom flat for sale,"£780,000"
https://www.rightmove.co.uk/properties/107603531#/?channel=RES_BUY,"International Way, Stratford, London, E20",2 bedroom flat for sale,"£775,000"
https://www.rightmove.co.uk/properties/114425243#/?channel=RES_BUY,"Legacy Tower, Great Eastern Road E15",3 bedroom apartment for sale,"£775,000"
https://www.rightmove.co.uk/properties/114544421#/?channel=RES_BUY,"Legacy Tower, Stratford Central, London E15",3 bedroom apartment for sale,"£765,000"
https://www.rightmove.co.uk/properties/113724731#/?channel=RES_BUY,Great Eastern Road London E15,3 bedroom apartment for sale,"£765,000"
https://www.rightmove.co.uk/properties/119459933#/?channel=RES_BUY,"Tandy Place,
London,
E20 3AS",3 bedroom apartment for sale,"£760,000"
https://www.rightmove.co.uk/properties/119907953#/?channel=RES_BUY,"Chobham Road, London, E15",3 bedroom town house for sale,"£750,000"
https://www.rightmove.co.uk/properties/113852489#/?channel=RES_BUY,Great Eastern Road London E15,3 bedroom apartment for sale,"£750,000"
https://www.rightmove.co.uk/properties/113839823#/?channel=RES_BUY,"High Street, Stratford, London, E15",3 bedroom flat for sale,"£750,000"
https://www.rightmove.co.uk/properties/118949906#/?channel=RES_BUY,"Legacy Tower, Stratford Central London E15",3 bedroom apartment for sale,"£750,000"
https://www.rightmove.co.uk/properties/116014085#/?channel=RES_BUY,"Fish Island Village Sales Office
7 Monkwood Way
Hackney
E3 2WS",3 bedroom apartment for sale,"£745,000"
